index,Account_No,DATE,TRANSACTION_DETAILS,WITHDRAWAL_AMT,DEPOSIT_AMT,BALANCE_AMT,year,month,day,type,AMOUNT,receiver_Account
0,409000611074',2018-01-01,INDO GIBL Indiaforensic STL31121,14000.0,0.0,697823.0,2018,1,1,PAYEMENT,14000.0,M1979787155
1,409000611074',2018-01-01,INDO GIBL Indiaforensic STL30121,54250.0,0.0,643573.0,2018,1,1,DEBIT,54250.0,M2044282225
2,409000611074',2018-01-02,INDO GIBL Indiaforensic STL01011,147500.0,0.0,496073.0,2018,1,2,PAYEMENT,147500.0,C553264065
3,409000611074',2018-01-03,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,996073.0,2018,1,3,TRANSFER,500000.0,C38997010
4,409000611074',2018-01-03,INDO GIBL Indiaforensic STL02011,323500.0,0.0,672573.0,2018,1,3,PAYEMENT,323500.0,M1230701703
5,409000611074',2018-01-04,INDO GIBL Indiaforensic STL03011,180300.0,0.0,492273.0,2018,1,4,PAYEMENT,180300.0,M573487274
6,409000611074',2018-01-05,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,992273.0,2018,1,5,TRANSFER,500000.0,M408069119
7,409000611074',2018-01-05,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1492273.0,2018,1,5,CHECK_CASHING,500000.0,M633326333
8,409000611074',2018-01-05,INDO GIBL Indiaforensic STL04011,222800.0,0.0,1269473.0,2018,1,5,CASH_OUT,222800.0,M1176932104
9,409000611074',2018-01-06,INDO GIBL Indiaforensic STL05011,145450.0,0.0,1124023.0,2018,1,6,CASH_OUT,145450.0,C195600860
10,409000611074',2018-01-09,INDO GIBL Indiaforensic STL06011,182000.0,0.0,942023.0,2018,1,9,DEBIT,182000.0,C997608398
11,409000611074',2018-01-09,INDO GIBL Indiaforensic STL07011,205075.0,0.0,736948.0,2018,1,9,CASH_OUT,205075.0,M2096539129
12,409000611074',2018-01-09,INDO GIBL Indiaforensic STL08011,170500.0,0.0,566448.0,2018,1,9,DEBIT,170500.0,M972865270
13,409000611074',2018-01-09,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1066448.0,2018,1,9,CASH_IN,500000.0,M801569151
14,409000611074',2018-01-10,INDO GIBL Indiaforensic STL09011,495252.0,0.0,571196.0,2018,1,10,CHECK_WITHDRAWAL,495252.0,M1635378213
15,409000611074',2018-01-11,INDO GIBL Indiaforensic STL10011,256600.0,0.0,314596.0,2018,1,11,CASH_OUT,256600.0,C476402209
16,409000611074',2018-01-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,814596.0,2018,1,12,CASH_IN,500000.0,M1731217984
17,409000611074',2018-01-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1314596.0,2018,1,12,TRANSFER,500000.0,M1877062907
18,409000611074',2018-01-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1814596.0,2018,1,12,CHECK_CASHING,500000.0,M473053293
19,409000611074',2018-01-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,2314596.0,2018,1,12,CASH_IN,500000.0,C1100439041
20,409000611074',2018-01-15,INDO GIBL Indiaforensic STL14011,5000.0,0.0,2309596.0,2018,1,15,CHECK_WITHDRAWAL,5000.0,M1344519051
21,409000611074',2018-01-15,INDO GIBL Indiaforensic STL11011,348200.0,0.0,1961396.0,2018,1,15,DEBIT,348200.0,C1973538135
22,409000611074',2018-01-15,INDO GIBL Indiaforensic STL13011,112900.0,0.0,1848496.0,2018,1,15,CASH_OUT,112900.0,C515132998
23,409000611074',2018-01-15,INDO GIBL Indiaforensic STL12011,392251.0,0.0,1456245.0,2018,1,15,CASH_OUT,392251.0,M1404932042
24,409000611074',2018-01-16,INDO GIBL Indiaforensic STL15011,412300.0,0.0,1043945.0,2018,1,16,DEBIT,412300.0,C932583850
25,409000611074',2018-01-17,INDO GIBL Indiaforensic STL16011,518375.0,0.0,525570.0,2018,1,17,CHECK_WITHDRAWAL,518375.0,M1558079303
26,409000611074',2018-01-20,INDO GIBL Indiaforensic STL19011,296450.0,0.0,229120.0,2018,1,20,CHECK_WITHDRAWAL,296450.0,M58488213
27,409000611074',2018-01-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,729120.0,2018,1,22,CASH_IN,500000.0,M295304806
28,409000611074',2018-01-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1229120.0,2018,1,22,CASH_IN,500000.0,M33419717
29,409000611074',2018-01-23,INDO GIBL Indiaforensic STL22011,274600.0,0.0,954520.0,2018,1,23,CHECK_WITHDRAWAL,274600.0,M1940055334
30,409000611074',2018-01-23,INDO GIBL Indiaforensic STL20011,159725.0,0.0,794795.0,2018,1,23,CHECK_WITHDRAWAL,159725.0,M335107734
31,409000611074',2018-01-23,INDO GIBL Indiaforensic STL21011,69000.0,0.0,725795.0,2018,1,23,PAYEMENT,69000.0,M1757317128
32,409000611074',2018-01-23,INDO GIBL Indiaforensic STL18011,244350.0,0.0,481445.0,2018,1,23,PAYEMENT,244350.0,M1804441305
33,409000611074',2018-01-24,INDO GIBL Indiaforensic STL23011,224800.0,0.0,256645.0,2018,1,24,CASH_OUT,224800.0,M1971783162
34,409000611074',2018-01-29,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,756645.0,2018,1,29,CASH_IN,500000.0,M151442075
35,409000611074',2018-01-29,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1256645.0,2018,1,29,CASH_IN,500000.0,M70695990
36,409000611074',2018-01-29,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1756645.0,2018,1,29,CASH_IN,500000.0,M1615617512
37,409000611074',2018-01-29,INDO GIBL Indiaforensic STL25011,135050.0,0.0,1621595.0,2018,1,29,CHECK_WITHDRAWAL,135050.0,M107994825
38,409000611074',2018-01-29,INDO GIBL Indiaforensic STL26011,31300.0,0.0,1590295.0,2018,1,29,DEBIT,31300.0,M1426725223
39,409000611074',2018-01-29,INDO GIBL Indiaforensic STL27011,20500.0,0.0,1569795.0,2018,1,29,CHECK_WITHDRAWAL,20500.0,M1384454980
40,409000611074',2018-01-29,INDO GIBL Indiaforensic STL28011,5500.0,0.0,1564295.0,2018,1,29,PAYEMENT,5500.0,M1569435561
41,409000611074',2018-01-29,INDO GIBL Indiaforensic STL24011,204900.0,0.0,1359395.0,2018,1,29,CHECK_WITHDRAWAL,204900.0,C1297685781
42,409000611074',2018-01-29,INDO GIBL Indiaforensic STL17011,563250.0,0.0,796145.0,2018,1,29,DEBIT,563250.0,C1509514333
43,409000611074',2018-01-30,INDO GIBL Indiaforensic STL29011,207100.0,0.0,589045.0,2018,1,30,PAYEMENT,207100.0,M267814113
44,409000611074',2018-01-31,INDO GIBL Indiaforensic STL30011,138250.0,0.0,450795.0,2018,1,31,CHECK_WITHDRAWAL,138250.0,M1593224710
45,409000611074',2018-02-01,INDO GIBL Indiaforensic STL31011,196150.0,0.0,254645.0,2018,2,1,CHECK_WITHDRAWAL,196150.0,M1849015357
46,409000611074',2018-02-02,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,754645.0,2018,2,2,TRANSFER,500000.0,M2008106788
47,409000611074',2018-02-02,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1254645.0,2018,2,2,CASH_IN,500000.0,C824009085
48,409000611074',2018-02-02,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1754645.0,2018,2,2,TRANSFER,500000.0,C248609774
49,409000611074',2018-02-03,INDO GIBL Indiaforensic STL02021,119675.0,0.0,1634970.0,2018,2,3,DEBIT,119675.0,M490391704
50,409000611074',2018-02-03,INDO GIBL Indiaforensic STL01021,137775.0,0.0,1497195.0,2018,2,3,DEBIT,137775.0,M1653361344
51,409000611074',2018-02-07,INDO GIBL Indiaforensic STL03021,61500.0,0.0,1435695.0,2018,2,7,PAYEMENT,61500.0,C2001112025
52,409000611074',2018-02-07,INDO GIBL Indiaforensic STL05021,138350.0,0.0,1297345.0,2018,2,7,CHECK_WITHDRAWAL,138350.0,M909132503
53,409000611074',2018-02-07,INDO GIBL Indiaforensic STL06021,239400.0,0.0,1057945.0,2018,2,7,CASH_OUT,239400.0,M1792384402
54,409000611074',2018-02-08,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1557945.0,2018,2,8,CHECK_CASHING,500000.0,M1658980982
